unix	долото
1700064368	3594.42
1700064370	3594.36
1700064372	3594.31
1700064374	3594.25
1700064376	3594.19
1700064378	3594.13
1700064380	3594.07
1700064382	3594.02
1700064384	3593.96
1700064386	3593.90
1700064388	3593.84
1700064390	3593.78
1700064392	3593.72
1700064394	3593.67
1700064396	3593.61
1700064398	3593.55
1700064400	3593.49
1700064402	3593.44
1700064404	3593.38
1700064406	3593.32
1700064408	3593.26
1700064410	3593.20
1700064412	3593.15
1700064414	3593.09
1700064416	3593.03
1700064418	3592.97
1700064420	3592.91
1700064422	3592.86
1700064424	3592.80
1700064426	3592.74
1700064428	3592.68
1700064430	3592.62
1700064432	3592.57
1700064434	3592.51
1700064436	3592.45
1700064438	3592.40
1700064440	3592.34
1700064442	3592.29
1700064444	3592.23
1700064446	3592.17
1700064448	3592.12
1700064450	3592.07
1700064452	3592.01
1700064454	3591.95
1700064456	3591.90
1700064458	3591.84
1700064460	3591.79
1700064462	3591.73
1700064464	3591.67
1700064466	3591.62
1700064468	3591.56
1700064470	3591.51
1700064472	3591.45
1700064474	3591.39
1700064476	3591.34
1700064478	3591.28
1700064480	3591.22
1700064482	3591.17
1700064484	3591.11
1700064486	3591.06
1700064488	3591.00
1700064490	3590.94
1700064492	3590.88
1700064494	3590.83
1700064496	3590.77
1700064498	3590.71
1700064500	3590.66
1700064502	3590.60
1700064504	3590.55
1700064506	3590.49
1700064508	3590.43
1700064510	3590.38
1700064512	3590.32
1700064514	3590.26
1700064516	3590.20
1700064518	3590.15
1700064520	3590.09
1700064522	3590.04
1700064524	3589.98
1700064526	3589.92
1700064528	3589.87
1700064530	3589.81
1700064532	3589.75
1700064534	3589.69
1700064536	3589.64
1700064538	3589.58
1700064540	3589.52
1700064542	3589.46
1700064544	3589.41
1700064546	3589.35
1700064548	3589.29
1700064550	3589.24
1700064552	3589.18
1700064554	3589.12
1700064556	3589.06
1700064558	3589.01
1700064560	3588.95
1700064562	3588.89
1700064564	3588.84
1700064566	3588.78
1700064568	3588.72
1700064570	3588.66
1700064572	3588.60
1700064574	3588.55
1700064576	3588.49
1700064578	3588.43
1700064580	3588.38
1700064582	3588.32
1700064584	3588.26
1700064586	3588.21
1700064588	3588.15
1700064590	3588.09
1700064592	3588.03
1700064594	3587.97
1700064596	3587.92
1700064598	3587.86
1700064600	3587.80
1700064602	3587.74
1700064604	3587.69
1700064606	3587.63
1700064608	3587.57
1700064610	3587.51
1700064612	3587.45
1700064614	3587.39
1700064616	3587.34
1700064618	3587.28
1700064620	3587.22
1700064622	3587.16
1700064624	3587.11
1700064626	3587.05
1700064628	3586.99
1700064630	3586.93
1700064632	3586.87
1700064634	3586.81
1700064636	3586.76
1700064638	3586.70
1700064640	3586.64
1700064642	3586.58
1700064644	3586.53
1700064646	3586.47
1700064648	3586.41
1700064650	3586.35
1700064652	3586.29
1700064654	3586.23
1700064656	3586.17
1700064658	3586.12
1700064660	3586.06
1700064662	3586.00
1700064664	3585.94
1700064666	3585.88
1700064668	3585.83
1700064670	3585.77
1700064672	3585.71
1700064674	3585.65
1700064676	3585.59
1700064678	3585.53
1700064680	3585.47
1700064682	3585.42
1700064684	3585.36
1700064686	3585.30
1700064688	3585.24
1700064690	3585.18
1700064692	3585.12
1700064694	3585.06
1700064696	3585.01
1700064698	3584.95
1700064700	3584.89
1700064702	3584.83
1700064704	3584.78
1700064706	3584.73
1700064708	3584.70
1700064710	3584.66
1700064712	3584.62
1700064714	3584.58
